siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
016250102,00163,01625010200163,O,2018-01-01,22,2023,,2025-04-06T02:08:03.965,true,A,O,,1962-01-01,5710,HAIER FRANCE,,,,,,,,,,,46.43Z,NAFRev2,,N,,22,2023,00163,2025-03-06T12:00:09.124,ETI,2023,,53,,,BOULEVARD,ORNANO,93200,SAINT-DENIS,,93066,,,930666870_B,651944.5271284864,6868609.167392648,A,,,,HAIER FRANCE,46.43Z,NAFRev2,O
017251067,00116,01725106700116,O,2021-04-09,42,2023,,2025-07-17T12:01:35.045,true,A,O,,1972-01-01,5710,VALEO COMFORT AND DRIVING ASSISTANCE,,,,,,,,,,,71.12B,NAFRev2,,N,,42,2023,00116,2025-07-17T12:01:35.036,GE,2023,,6,,,RUE,DANIEL COSTANTINI,94000,CRETEIL,,94028,,,940282505_B,660701.5883193898,6851978.196881724,A,,,,,71.12B,NAFRev2,N
056801293,00129,05680129300129,O,2021-10-01,31,2023,,2025-06-06T13:03:05.207,true,A,O,,1956-01-01,5710,STUDIOCANAL,,,,,,,,,,,59.11C,NAFRev2,,N,,31,2023,00129,2025-06-06T13:03:05.187,GE,2023,,50,,,RUE,CAMILLE DESMOULINS,92130,ISSY-LES-MOULINEAUX,,92040,,,920401410_B,646131.1800349844,6859241.704721914,A,,,,,59.11C,NAFRev2,O
063802466,00373,06380246600373,O,2017-06-30,32,2023,,2025-01-15T03:25:11.392,true,A,O,,1900-01-01,5599,FACTOFRANCE,,,,,,,,,,,64.19Z,NAFRev2,,N,,32,2023,00373,2024-09-13T10:12:01.786,GE,2023,TOUR D2,17,B,,PLACE,DES REFLETS,92400,COURBEVOIE,,92026,,,920268129_B,644829.8782424304,6865854.025867102,A,,,,,64.19Z,NAFRev2,O
067704650,00109,06770465000109,O,2018-04-30,31,2023,,2025-01-25T02:06:58.251,true,A,O,,1967-01-01,5710,SOCOTEC POWER SERVICES,,,,,,,,,,,71.20B,NAFRev2,,N,,32,2023,00109,2025-03-10T11:00:58.005,GE,2023,,5,,,PLACE,DES FRERES MONTGOLFIER,78280,GUYANCOURT,,78297,,,782970193_B,630404.2841974156,6854474.2215447845,A,,,,,71.20B,NAFRev2,O
068803055,01180,06880305501180,O,2021-09-06,22,2023,,2025-08-01T15:01:36.056,true,A,O,,1968-01-01,5710,DAHER LOGISTICS,,,,,,,,,,,52.29B,NAFRev2,,N,,41,2023,01180,2025-09-26T11:00:44.847,GE,2023,IMMEUBLE BELAIA,7,,,AVENUE,DE L’UNION,94310,ORLY,,94054,,,940549300_B,653743.2543082684,6848168.704592679,A,DAHER TECHNOLOGIES,,,,52.29B,NAFRev2,O
073502981,00332,07350298100332,O,2018-09-27,21,2023,,2024-03-30T15:15:36.53,true,A,O,,1973-01-01,5710,SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,,,,,,,,,,43.21A,NAFRev2,,N,,32,2023,00332,2024-09-12T05:34:20.467,ETI,2023,PARC DES ALGORITHMES,,,,ROUTE,DE L’ORME DES MERISIERS,91190,SAINT-AUBIN,,91538,,,915384bgil1_B,637347.7276813794,6845907.989519715,A,,,,,26.30Z,NAFRev2,O
085480069,01136,08548006901136,O,2022-09-12,22,2023,,2025-01-30T02:06:54.889,true,A,O,,1954-01-01,5499,ADIDAS FRANCE,,,,,,,,,,,46.42Z,NAFRev2,,N,,41,2023,01136,2025-06-18T16:34:41.179,ETI,2023,,100,,,RUE,REAUMUR,75002,PARIS,,75102,,,751028073_B,652190.3111981164,6863223.048805884,A,ADIDAS,,,ADIDAS,46.42Z,NAFRev2,O
085480796,00151,08548079600151,O,2011-07-22,21,2023,,2025-01-18T02:07:03.006,true,A,O,,1954-01-01,5710,LES LABORATOIRES SERVIER,,,,,,,,,,,21.20Z,NAFRev2,,N,,21,2023,00151,2025-01-17T13:03:57.824,GE,2023,,50,,,RUE,CARNOT,92150,SURESNES,,92073,,,920731425_B,643313.2507074759,6864031.270759682,A,,,,,21.20Z,NAFRev2,O
086380730,00092,08638073000092,O,2015-10-01,42,2023,,2025-07-10T17:09:05.075,true,A,O,,1963-01-01,5599,SOGECAP,,,,,,,,,,,65.11Z,NAFRev2,,N,,51,2023,00092,2025-07-10T17:09:05.052,GE,2023,TOUR D2,17,B,,PLACE,DES REFLETS,92400,COURBEVOIE,,92026,,,920268129_B,644829.88,6865854.03,A,,,,,65.11Z,NAFRev2,O
